Item	Name	Parameter	Units	Comment	Scenarios:		a_01_LowImpB	a_02_HighImpB	a_03_MoreNPC	b_01_LowImpB	b_02_HighImpB	b_03_MoreNPC
					Description:		With RanGTP regeneration			Without RanGTP regeneration		
							Low ImpB	Increase ImpB	Increase NPC	Low ImpB	Increase ImpB	Increase NPC
												
				Initial values								
Species	CAS(c)	Value	uM				1	1	1	1	1	1
Species	CAS(n)	Value	uM				0	0	0	0	0	0
Species	ΔCAS(c)	Value	uM				0	0	0	0	0	0
Species	ΔCAS(n)	Value	uM				0	0	0	0	0	0
												
Species	Ran·GTP(n)	Value	uM				3	3	3	3	3	3
Species	NPC	Value	uM				2	2	4	2	2	4
												
Species	ImpB(c)	Value	uM				0.05	10	10	0.05	10	10
Species	ImpB(n)	Value	uM				0	0	0	0	0	0
Species	ImpA(c)	Value	uM				0.5	0.5	0.5	0.5	0.5	0.5
Species	ImpA(n)	Value	uM				0.5	0.5	0.5	0.5	0.5	0.5
												
				Kinetic constants								
Reaction	hydrolysis of Ran·GTP·ImpB·NPC	kf	1/s				0.1	0.1	0.1	0.1	0.1	0.1
												
Reaction	hydrolysis of ImpA·CAS·Ran·GTP·NPC	kf	1/s				1e-2	1e-2	1e-2	1e-2	1e-2	1e-2
Reaction	hydrolysis of ImpA·ΔCAS·Ran·GTP·NPC	kf	1/s									
												
Reaction	CAS with Ran	kf	1/uM/s				0.01	0.01	0.01	0.01	0.01	0.01
Reaction	CAS with Ran	kr	1/s				0.015	0.015	0.015	0.015	0.015	0.015
Reaction	ΔCAS with Ran	kf	1/uM/s	(Unknown)								
Reaction	ΔCAS with Ran	kr	1/s									
												
Reaction	CAS with NPC	kf	1/uM/s				1e-3	1e-3	1e-3	1e-3	1e-3	1e-3
Reaction	CAS with NPC	kr	1/s				1e-4	1e-4	1e-4	1e-4	1e-4	1e-4
Reaction	ΔCAS with NPC	kf	1/uM/s									
Reaction	ΔCAS with NPC	kr	1/s									
												
Reaction	CAS·Ran with ImpA	kf	1/uM/s				0.1	0.1	0.1	0.1	0.1	0.1
Reaction	ΔCAS·Ran with ImpA	kf	1/uM/s									
												
Reaction	Complex CAS with NPC	kf	1/uM/s	i.e. ImpA·CAS·Ran·GTP			1e-3	1e-3	1e-3	1e-3	1e-3	1e-3
Reaction	Complex CAS with NPC	kr	1/s				1e-5	1e-5	1e-5	1e-5	1e-5	1e-5
Reaction	Complex ΔCAS with NPC	kf	1/uM/s	i.e. ImpA·ΔCAS·Ran·GTP								
Reaction	Complex ΔCAS with NPC	kr	1/s									
												
Reaction	Replenish NLS	kf	1/s				0	0	0	0	0	0
Reaction	Passive diffusion	k_diff	1/s				0	0	0	0	0	0
Reaction	Ran gradient	k_pump	1/s				1e-2	1e-2	1e-2	0	0	0
												
	For uploaded results, see:											
	https://numpde.github.io/nct1/code/20210413-AlphaBeta/checkpoint/											
